season,team,week,date,opponent,conference_game,venue,attendance,capacity,pct_of_capacity,capacity_estimated
2012,Arizona,1,2012-09-01,Toledo,false,Arizona Stadium,48670,51811,0.9394,false
2012,Arizona,2,2012-09-08,Oklahoma State,false,Arizona Stadium,45602,51811,0.8802,false
2012,Arizona,3,2012-09-15,South Carolina State,false,Arizona Stadium,43919,51811,0.8477,false
2012,Arizona,5,2012-09-29,Oregon State,false,Arizona Stadium,44153,51811,0.8522,false
2012,Arizona,8,2012-10-20,Washington,false,Arizona Stadium,50148,51811,0.9679,false
2012,Arizona,9,2012-10-27,USC,false,Arizona Stadium,47822,51811,0.9230,false
2012,Arizona,11,2012-11-10,Colorado,false,Arizona Stadium,51236,51811,0.9889,false
2012,Arizona,13,2012-11-23,Arizona State,false,Arizona Stadium,51901,51811,1.0017,false
2012,Arizona State,1,2012-08-30,Northern Arizona,false,Sun Devil Stadium,48658,71706,0.6786,false
2012,Arizona State,2,2012-09-08,Illinois,false,Sun Devil Stadium,54128,71706,0.7549,false
2012,Arizona State,4,2012-09-22,Utah,false,Sun Devil Stadium,58107,71706,0.8104,false
2012,Arizona State,8,2012-10-18,Oregon,false,Sun Devil Stadium,71004,71706,0.9902,false
2012,Arizona State,9,2012-10-27,UCLA,false,Sun Devil Stadium,55672,71706,0.7764,false
2012,Arizona State,12,2012-11-17,Washington State,false,Sun Devil Stadium,53438,71706,0.7452,false
2012,BYU,1,2012-08-30,Washington State,false,LaVell Edwards Stadium,57045,63470,0.8988,false
2012,BYU,2,2012-09-08,Weber State,false,LaVell Edwards Stadium,60314,63470,0.9503,false
2012,BYU,5,2012-09-28,Hawai'i,false,LaVell Edwards Stadium,62022,63470,0.9772,false
2012,BYU,6,2012-10-05,Utah State,false,LaVell Edwards Stadium,63086,63470,0.9939,false
2012,BYU,7,2012-10-13,Oregon State,false,LaVell Edwards Stadium,63489,63470,1.0003,false
2012,BYU,11,2012-11-10,Idaho,false,LaVell Edwards Stadium,61009,63470,0.9612,false
2012,Baylor,1,2012-09-02,SMU,false,Floyd Casey Stadium,43514,50000,0.8703,false
2012,Baylor,7,2012-10-13,TCU,true,Floyd Casey Stadium,42524,50000,0.8505,false
2012,Baylor,10,2012-11-03,Kansas,true,Floyd Casey Stadium,39039,50000,0.7808,false
2012,Baylor,12,2012-11-17,Kansas State,true,Floyd Casey Stadium,38029,50000,0.7606,false
2012,Baylor,14,2012-12-01,Oklahoma State,true,Floyd Casey Stadium,39203,50000,0.7841,false
2012,Cincinnati,2,2012-09-06,Pittsburgh,false,Nippert Stadium,33562,35000,0.9589,false
2012,Cincinnati,3,2012-09-15,Delaware State,false,Nippert Stadium,27112,35000,0.7746,false
2012,Cincinnati,6,2012-10-06,Miami (OH),false,Nippert Stadium,35097,35000,1.0028,false
2012,Cincinnati,7,2012-10-13,Fordham,false,Nippert Stadium,26317,35000,0.7519,false
2012,Cincinnati,10,2012-11-03,Syracuse,false,Nippert Stadium,26180,35000,0.7480,false
2012,Cincinnati,12,2012-11-17,Rutgers,false,Nippert Stadium,34526,35000,0.9865,false
2012,Cincinnati,13,2012-11-23,South Florida,false,Nippert Stadium,21171,35000,0.6049,false
2012,Colorado,2,2012-09-08,Sacramento State,false,Folsom Field,46843,53613,0.8737,false
2012,Colorado,5,2012-09-29,UCLA,false,Folsom Field,46893,53613,0.8747,false
2012,Colorado,7,2012-10-11,Arizona State,false,Folsom Field,45161,53613,0.8424,false
2012,Colorado,10,2012-11-03,Stanford,false,Folsom Field,44138,53613,0.8233,false
2012,Colorado,12,2012-11-17,Washington,false,Folsom Field,43148,53613,0.8048,false
2012,Colorado,13,2012-11-23,Utah,false,Folsom Field,46052,53613,0.8590,false
2012,Houston,1,2012-09-01,Texas State,false,Robertson Stadium,32207,32000,1.0065,false
2012,Houston,2,2012-09-08,Louisiana Tech,false,Robertson Stadium,29142,32000,0.9107,false
2012,Houston,6,2012-10-06,North Texas,false,Robertson Stadium,25476,32000,0.7961,false
2012,Houston,7,2012-10-13,UAB,false,Robertson Stadium,25242,32000,0.7888,false
2012,Houston,9,2012-10-27,UTEP,false,Robertson Stadium,27433,32000,0.8573,false
2012,Houston,11,2012-11-10,Tulsa,false,Robertson Stadium,25827,32000,0.8071,false
2012,Houston,13,2012-11-24,Tulane,false,Robertson Stadium,25402,32000,0.7938,false
2012,Iowa State,1,2012-09-01,Tulsa,false,Jack Trice Stadium,54931,55000,0.9987,false
2012,Iowa State,3,2012-09-15,Western Illinois,false,Jack Trice Stadium,55783,55000,1.0142,false
2012,Iowa State,5,2012-09-29,Texas Tech,true,Jack Trice Stadium,54149,55000,0.9845,false
2012,Iowa State,7,2012-10-13,Kansas State,true,Jack Trice Stadium,56800,55000,1.0327,false
2012,Iowa State,9,2012-10-27,Baylor,true,Jack Trice Stadium,54877,55000,0.9978,false
2012,Iowa State,10,2012-11-03,Oklahoma,true,Jack Trice Stadium,56585,55000,1.0288,false
2012,Iowa State,13,2012-11-23,West Virginia,true,Jack Trice Stadium,53792,55000,0.9780,false
2012,Kansas,1,2012-09-01,South Dakota State,false,Memorial Stadium,46601,50071,0.9307,false
2012,Kansas,2,2012-09-08,Rice,false,Memorial Stadium,44683,50071,0.8924,false
2012,Kansas,3,2012-09-15,TCU,true,Memorial Stadium,43867,50071,0.8761,false
2012,Kansas,7,2012-10-13,Oklahoma State,true,Memorial Stadium,31115,50071,0.6214,false
2012,Kansas,9,2012-10-27,Texas,true,Memorial Stadium,40097,50071,0.8008,false
2012,Kansas,12,2012-11-17,Iowa State,true,Memorial Stadium,41608,50071,0.8310,false
2012,Kansas State,1,2012-09-01,Missouri State,false,Bill Snyder Family Football Stadium,50007,50000,1.0001,false
2012,Kansas State,2,2012-09-08,Miami,false,Bill Snyder Family Football Stadium,48843,50000,0.9769,false
